Timestamp, CPU Percent, CPU Temp, NET Total, MEM Free, DISK Free
2021-08-30 09:42:01.253863,3.6,46.7,900.0,5926776832,250.0G
2021-08-30 09:42:07.304982,4.1,46.3,2736.5,5924626432,250.0G
2021-08-30 09:42:13.355812,3.4,46.3,2360.6666666666665,5925801984,250.0G
2021-08-30 09:42:19.405837,3.3,46.3,16187.666666666666,5925289984,250.0G
2021-08-30 09:42:25.455219,3.5,46.7,1819.1666666666667,5923745792,250.0G
2021-08-30 09:42:31.509616,3.1,46.3,1231.5,5924261888,250.0G
2021-08-30 09:42:37.567036,4.0,47.2,2569.1666666666665,5924003840,250.0G
2021-08-30 09:42:43.612461,2.9,46.3,1162.3333333333333,5924777984,250.0G
2021-08-30 09:42:49.664677,3.3,46.7,1175.3333333333333,5925036032,250.0G
2021-08-30 09:42:55.712830,4.5,46.3,2352.8333333333335,5925437440,250.0G
2021-08-30 09:43:01.762593,3.0,45.8,1354.3333333333333,5925437440,250.0G
2021-08-30 09:43:07.813438,4.2,45.3,2595.8333333333335,5925265408,250.0G
2021-08-30 09:43:13.864421,3.1,46.3,1280.6666666666667,5925298176,250.0G
2021-08-30 09:43:19.917606,3.1,46.7,2380.8333333333335,5925265408,250.0G
2021-08-30 09:43:25.969269,4.3,47.2,4607.833333333333,5925609472,250.0G
2021-08-30 09:43:32.015404,4.5,46.7,9331.5,5926760448,250.0G
2021-08-30 10:58:47.128586,5.2,45.8,208794.27666666667,6977576960,250.3G
